a a l e n d	VERB type=participle tense=present
e r b t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e r b t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e r d a l k a l i m e t a l l e n	NOUN case=dative number=plural
e r d a l k a l i m e t a l l e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e r d a l k a l i m e t a l l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r d a l k a l i m e t a l l s	NOUN case=genitive number=singular
e r d e n d	VERB type=participle tense=present
e r d e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r d e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
e r d e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e r d e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e r d e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e r d e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e r d e t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
e r d e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r d g a s f e l d e r n	NOUN case=dative number=plural
e r d g a s f e l d e r	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e r d g a s f e l d e s	NOUN case=genitive number=singular
e r d g a s f e l d	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r d k e r n e n	NOUN case=dative number=plural
e r d k e r n e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e r d k e r n e s	NOUN case=genitive number=singular
e r d k e r n	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r d o e l p r o d u k t e n	NOUN case=dative number=plural
e r d o e l p r o d u k t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e r d o e l p r o d u k t e s	NOUN case=genitive number=singular
e r d o e l p r o d u k t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r d r o s s e l e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e r d r o s s e l e t	VERB person=2nd number=plural tense=present mood=subjunctive
e r d r o s s e l e	VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r d r o s s e l n d	VERB type=participle tense=present
e r d r o s s e l n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r d r o s s e l s t	VERB person=2nd number=singular tense=present mood=indicative
e r d r o s s e l t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e r d r o s s e l t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e r d r o s s e l t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e r d r o s s e l t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e r d r o s s e l t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e r d r o s s l e	VERB person=1st number=singular tense=present mood=indicative
e r e i g n e n d	VERB type=participle tense=present
e r e i g n e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r e i g n e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
e r e i g n e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e r e i g n e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e r e i g n e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e r e i g n e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e r e i g n e t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
e r e i g n e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r e i g n i s h o r i z o n t e n	NOUN case=dative number=plural
e r e i g n i s h o r i z o n t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e r e i g n i s h o r i z o n t e s	NOUN case=genitive number=singular
e r e i g n i s h o r i z o n t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r e i g n i s	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r e i g n i s s e n	NOUN case=dative number=plural
e r e i g n i s s e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
e r e i g n i s s e s	NOUN case=genitive number=singular
e r e k t i o n e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
e r e k t i o n	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
e r f a h r e n d	VERB type=participle tense=present
e r f a h r e n	VERB type=infinitive ; VERB type=participle tense=past ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r f a h r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e r f a h r e t	VERB person=2nd number=plural tense=present mood=subjunctive
e r f a h r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r f a e h r s t	VERB person=2nd number=singular tense=present mood=indicative
e r f a h r t	VERB person=2nd number=plural tense=present mood=indicative
e r f a e h r t	VERB person=3rd number=singular tense=present mood=indicative
e r f a s s e n d	VERB type=participle tense=present
e r f a s s e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r f a s s e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e r f a s s e t	VERB person=2nd number=plural tense=present mood=subjunctive
e r f a s s e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r f a s s t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
e r f a s s t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
e r f a s s t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
e r f a s s t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
e r f a s s t	VERB type=participle tense=past ; VERB person=2nd number=singular tense=present mood=indicative ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
e r f o l g e n d	VERB type=participle tense=present
e r f o l g e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
e r f o l g e s t	VERB person=2nd number=singular tense=present mood=subjunctive
e r f o l g e t	VERB person=2nd number=plural tense=present mood=subjunctive
e r f o l g e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
e r f o l g t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
